id,room_type,price_per_night,minimum_nights,rating,number_of_reviews,availability,neighbourhood_group,neighbourhood,latitude,longitude
880704288932050723,Private room,70,7,0.0,0,193,Manhattan,Harlem,40.81631142030235,-73.95845621493343
878348431580367425,Entire home/apt,131,2,5.0,3,268,Brooklyn,Dyker Heights,40.6279838,-74.01265049999999
879677068423637081,Entire home/apt,100,30,0.0,0,308,Manhattan,Inwood,40.86746042811713,-73.91908971802627
878348575480539546,Private room,71,1,0.0,2,359,Queens,Flushing,40.76077,-73.80762
880743148199405939,Private room,226,4,0.0,0,5,Manhattan,Midtown,40.75152100312295,-73.97180412351545
880759805982820777,Private room,52,1,0.0,2,334,Bronx,Clason Point,40.819386440858345,-73.86376528126345
879677345725701125,Entire home/apt,162,30,0.0,0,283,Manhattan,Upper West Side,40.78064671823406,-73.98569051855279
880988321867864522,Private room,130,21,0.0,0,332,Brooklyn,Bedford-Stuyvesant,40.69777830602584,-73.93786157204461
881060123019851725,Private room,84,3,0.0,2,357,Queens,Sunnyside,40.74362224000657,-73.91472836449832
878389897077898349,Entire home/apt,732,3,5.0,3,205,Manhattan,Hell's Kitchen,40.76106091924812,-73.99707143576518
879683106984258169,Private room,89,2,4.67,3,352,Queens,College Point,40.78099480404934,-73.84258119268772
878439284813850391,Entire home/apt,228,2,0.0,0,320,Brooklyn,Bay Ridge,40.63728136910582,-74.03097875590248
881067487068828217,Private room,522,1,0.0,0,70,Manhattan,Theater District,40.75817048204483,-73.98429721063306
879684529088622221,Private room,71,30,0.0,0,286,Brooklyn,Bedford-Stuyvesant,40.68839620152063,-73.9539196578522
881068644691114121,Private room,522,1,0.0,0,70,Manhattan,Theater District,40.75823014934716,-73.98549685920567
881082626393079685,Entire home/apt,461,3,0.0,0,157,Manhattan,Hell's Kitchen,40.77074245106421,-73.99301372075266
878484956150776375,Entire home/apt,320,14,0.0,0,318,Brooklyn,Clinton Hill,40.68594782375072,-73.9652956600939
878489096899268968,Entire home/apt,363,2,5.0,5,285,Manhattan,West Village,40.73595526960359,-74.00210150414118
879687017819134144,Private room,533,1,0.0,0,166,Manhattan,Theater District,40.756050683543386,-73.98591939705886
878493181649245779,Private room,56,1,4.88,8,351,Brooklyn,Cypress Hills,40.68547191084221,-73.87674834109798
881095166025935957,Private room,395,1,0.0,0,50,Manhattan,Theater District,40.756598532804375,-73.98563148645947
879687622458416782,Private room,469,1,0.0,0,299,Manhattan,Theater District,40.75758135443179,-73.98563273850161
881096096882192636,Private room,395,1,0.0,0,50,Manhattan,Theater District,40.75619,-73.98532
878504836455661519,Private room,100,2,0.0,0,348,Queens,Far Rockaway,40.59462084994953,-73.75927641100417
879696287613924943,Private room,561,1,0.0,0,166,Manhattan,Theater District,40.75594781158237,-73.9857079835044
878506338192246614,Entire home/apt,99,1,0.0,0,277,Brooklyn,Cypress Hills,40.6873576,-73.8722172
878508342742172169,Private room,45,1,5.0,4,345,Queens,Cambria Heights,40.69856588978079,-73.7293859985504
881096894404622570,Private room,354,1,0.0,0,51,Manhattan,Theater District,40.75788012761728,-73.98400659073619
881098623680522029,Private room,498,1,0.0,0,166,Manhattan,Theater District,40.75819238554713,-73.98386672514913
881099580884642216,Private room,498,1,0.0,0,166,Manhattan,Theater District,40.75590119679202,-73.98445714709565
879723186061624399,Private room,325,2,0.0,2,4,Manhattan,Hell's Kitchen,40.760308616000025,-73.9927693238202
881101349671853230,Private room,439,1,0.0,0,148,Manhattan,Theater District,40.75775,-73.98576
878578926841233712,Entire home/apt,125,3,0.0,1,358,Brooklyn,Canarsie,40.6408540710442,-73.90996877739805
878779890734878165,Private room,49,30,0.0,0,48,Queens,Woodside,40.74316493382556,-73.8974931661839
879734286848417235,Private room,72,30,0.0,0,332,Brooklyn,Brownsville,40.6589335072219,-73.91173195313753
881102870066165785,Private room,439,1,0.0,0,145,Manhattan,Theater District,40.757846329731045,-73.9859602143499
881103734486182589,Private room,408,1,0.0,0,93,Manhattan,Theater District,40.75591,-73.98592
881106603205939308,Private room,389,1,0.0,0,226,Manhattan,Theater District,40.75637,-73.98362
881107868959302335,Private room,389,1,0.0,0,226,Manhattan,Theater District,40.75615372651198,-73.98534772011003
879771134886001325,Entire home/apt,214,1,0.0,2,29,Manhattan,Inwood,40.87169479685036,-73.91764916039949
881108386214019553,Private room,348,1,0.0,0,247,Manhattan,Theater District,40.75777351625784,-73.98365600947004
879790107853699759,Entire home/apt,230,14,0.0,0,37,Manhattan,Lower East Side,40.71484697468134,-73.98527191637014
881109995685334318,Private room,399,1,0.0,0,55,Manhattan,Theater District,40.75809993587457,-73.98527299464973
878799280212265128,Entire home/apt,119,2,0.0,1,294,Bronx,Melrose,40.82320197526787,-73.91168957859365
878802043462411969,Entire home/apt,193,1,0.0,1,365,Brooklyn,Bergen Beach,40.62639588296448,-73.91319416051385
879808411956404222,Entire home/apt,219,7,0.0,0,263,Manhattan,East Village,40.72902,-73.98383
878826497958709257,Shared room,87,1,4.33,3,264,Manhattan,Midtown,40.7460850823929,-73.98954107819517
881111219485952176,Private room,399,1,0.0,0,55,Manhattan,Theater District,40.75596305484583,-73.98575723462076
881111560336236248,Private room,357,1,0.0,0,53,Manhattan,Theater District,40.7559591780964,-73.98447037275213
879811622176685603,Private room,89,1,5.0,11,58,Manhattan,Inwood,40.87145835609716,-73.91626401889678
878835158773207422,Entire home/apt,200,31,0.0,0,0,Brooklyn,Williamsburg,40.7127241,-73.9570947
879848302925367431,Entire home/apt,120,1,0.0,0,322,Queens,Sunnyside,40.74532547931712,-73.9244613165294
878849112452892406,Entire home/apt,250,2,5.0,3,351,Queens,East Elmhurst,40.7600932857106,-73.89257988345094
881112622595983062,Private room,546,1,0.0,0,91,Manhattan,Theater District,40.75809,-73.98519
881113657324046893,Private room,546,1,0.0,0,92,Manhattan,Theater District,40.75610730181899,-73.98432546151966
879881391598018701,Entire home/apt,197,5,0.0,0,276,Queens,Flushing,40.758762736267975,-73.83140867200251
879940798328309722,Entire home/apt,183,1,5.0,9,80,Queens,St. Albans,40.69328902920288,-73.77040980892664
881130430206160539,Private room,817,1,0.0,0,72,Manhattan,Theater District,40.75820135715585,-73.98527624139716
882121459710485679,Entire home/apt,655,1,0.0,0,0,Manhattan,Theater District,40.75895,-73.98429
879964242062813383,Private room,190,1,0.0,1,350,Manhattan,Upper East Side,40.76662231325847,-73.95767572219688
882124328037053450,Entire home/apt,745,1,0.0,0,239,Manhattan,Theater District,40.76010234536891,-73.98460717703594
881138796238866594,Entire home/apt,200,30,0.0,0,281,Manhattan,Stuyvesant Town,40.73361142227662,-73.97640991090618
879999605697157564,Entire home/apt,229,31,0.0,0,295,Manhattan,Midtown,40.758206,-73.962772
881166043852621735,Private room,100,3,0.0,1,22,Brooklyn,Clinton Hill,40.6886300710114,-73.96723209654624
882126904922380670,Entire home/apt,486,1,0.0,0,0,Manhattan,Theater District,40.75873751097313,-73.98427255493253
880072783308872650,Private room,80,2,0.0,0,292,Brooklyn,Bedford-Stuyvesant,40.67763126337073,-73.92253502883605
882130039808585347,Entire home/apt,486,1,0.0,0,0,Manhattan,Theater District,40.75912400283544,-73.98225635492008
881170645374954239,Private room,60,1,4.63,8,171,Bronx,Throgs Neck,40.8220694400032,-73.81866433389284
880085586099633902,Entire home/apt,129,20,0.0,0,311,Manhattan,Hell's Kitchen,40.75803631414141,-73.99561415411218
881197255798594713,Entire home/apt,160,1,0.0,0,352,Bronx,Parkchester,40.84186759124248,-73.85474428306458
882131802188017284,Entire home/apt,479,2,0.0,1,207,Manhattan,Hell's Kitchen,40.76105044448425,-73.99273144288807
